A,carrots
A,eggs
A,"fatty fish"
A,"green leafy vegs"
A,liver
A,milk
A,tomatoes
B12,milk
B6,asparagus
B6,beans
shellfish,Se
thiamin,"whole grains"
tomatoes,tomatoes
"veg oils",E
yogurt,Ca
